Latitude (decimal degrees):	48.871
Longitude (decimal degrees):	0.300
Elevation (m):	240
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220719:2010,0.0,0.0,0.0,24.9,3.03,0.0
20220719:2110,0.0,0.0,0.0,23.73,3.24,0.0
20220719:2210,0.0,0.0,0.0,22.66,3.17,0.0
20220719:2310,0.0,0.0,0.0,21.65,3.17,0.0
20220720:0010,0.0,0.0,0.0,20.63,2.55,0.0
20220720:0110,0.0,0.0,0.0,19.83,2.41,0.0
20220720:0210,0.0,0.0,0.0,19.29,2.14,0.0
20220720:0310,0.0,0.0,0.0,18.81,1.45,0.0
20220720:0410,0.0,0.0,0.0,18.34,1.31,0.0
20220720:0510,13.96,29.87,7.01,18.38,1.66,0.0
20220720:0610,84.1,137.97,16.37,18.87,2.07,0.0
20220720:0710,158.64,209.66,26.14,19.44,3.24,0.0
20220720:0810,72.92,105.0,35.97,18.68,4.76,0.0
20220720:0910,158.06,206.22,45.41,18.93,5.24,0.0
20220720:1010,423.97,529.55,53.78,19.78,3.66,0.0
20220720:1110,687.77,883.25,59.81,21.74,3.38,0.0
20220720:1210,111.67,154.19,61.79,22.65,3.38,0.0
20220720:1310,462.8,588.86,58.9,23.17,3.59,0.0
20220720:1410,337.68,428.53,52.28,22.84,4.21,0.0
20220720:1510,563.29,703.64,43.63,20.59,3.86,0.0
20220720:1610,396.45,499.29,34.06,20.52,3.31,0.0
20220720:1710,190.41,255.97,24.21,21.01,3.72,0.0
20220720:1810,59.36,107.23,14.5,20.91,3.52,0.0
20220720:1910,12.49,28.06,5.26,21.7,2.83,0.0
20220720:2010,0.0,0.0,0.0,20.69,2.76,0.0
20220720:2110,0.0,0.0,0.0,19.7,3.03,0.0
20220720:2210,0.0,0.0,0.0,18.75,3.17,0.0
20220720:2310,0.0,0.0,0.0,17.98,3.1,0.0
20220721:0010,0.0,0.0,0.0,17.46,2.97,0.0
20220721:0110,0.0,0.0,0.0,17.26,2.83,0.0
20220721:0210,0.0,0.0,0.0,17.29,2.97,0.0
20220721:0310,0.0,0.0,0.0,17.32,2.9,0.0
20220721:0410,0.0,0.0,0.0,17.36,2.76,0.0
20220721:0510,15.96,32.58,6.86,17.37,2.69,0.0
20220721:0610,81.71,119.75,16.22,17.52,2.41,0.0
20220721:0710,181.06,235.91,25.99,16.85,1.79,0.0
20220721:0810,117.94,158.92,35.82,17.66,1.59,0.0
20220721:0910,202.03,260.41,45.26,18.58,1.59,0.0
20220721:1010,112.12,153.25,53.61,19.69,1.79,0.0
20220721:1110,202.92,264.2,59.63,20.89,1.79,0.0
20220721:1210,329.56,423.42,61.61,21.93,1.66,0.0
20220721:1310,561.82,734.57,58.72,23.04,1.52,0.0
20220721:1410,447.86,582.42,52.13,23.74,1.24,0.0
20220721:1510,353.68,459.16,43.49,23.95,1.03,0.0
20220721:1610,392.36,513.86,33.93,24.17,0.83,0.0
20220721:1710,166.37,228.49,24.09,24.06,0.97,0.0
20220721:1810,61.59,108.17,14.37,23.62,1.52,0.0
20220721:1910,3.55,13.58,5.13,21.97,2.97,0.0
20220721:2010,0.0,0.0,0.0,20.67,2.76,0.0
20220721:2110,0.0,0.0,0.0,19.74,2.62,0.0
20220721:2210,0.0,0.0,0.0,19.1,2.55,0.0
20220721:2310,0.0,0.0,0.0,18.59,2.41,0.0
20220722:0010,0.0,0.0,0.0,18.25,2.55,0.0
20220722:0110,0.0,0.0,0.0,17.97,2.62,0.0
20220722:0210,0.0,0.0,0.0,17.63,2.62,0.0
20220722:0310,0.0,0.0,0.0,17.25,2.69,0.0
20220722:0410,0.0,0.0,0.0,16.96,2.76,0.0
20220722:0510,5.77,17.2,6.7,16.89,2.69,0.0
20220722:0610,39.32,63.38,16.07,17.38,2.62,0.0
20220722:0710,72.97,105.0,25.85,18.24,3.38,0.0
20220722:0810,202.87,260.75,35.67,19.48,3.24,0.0
20220722:0910,465.09,583.08,45.1,20.58,3.24,0.0
20220722:1010,410.14,519.32,53.44,21.37,2.76,0.0
20220722:1110,469.21,603.07,59.44,22.28,1.93,0.0
20220722:1210,209.19,273.67,61.41,22.57,2.07,0.0
20220722:1310,245.71,317.97,58.55,21.96,1.93,0.0
20220722:1410,85.41,122.03,51.97,21.8,2.07,0.0
20220722:1510,163.04,214.92,43.35,20.52,2.34,0.0
20220722:1610,108.0,148.52,33.8,20.44,2.62,0.0
20220722:1710,63.79,94.6,23.96,19.8,2.28,0.0
20220722:1810,56.32,104.71,14.24,19.51,1.86,0.0
20220722:1910,3.1,12.67,4.98,20.23,0.97,0.0
20220722:2010,0.0,0.0,0.0,18.92,1.38,0.0
20220722:2110,0.0,0.0,0.0,17.93,1.66,0.0
20220722:2210,0.0,0.0,0.0,17.56,2.34,0.0
20220722:2310,0.0,0.0,0.0,17.08,2.76,0.0
20220723:0010,0.0,0.0,0.0,16.71,2.69,0.0
20220723:0110,0.0,0.0,0.0,16.45,2.62,0.0
20220723:0210,0.0,0.0,0.0,16.03,2.48,0.0
20220723:0310,0.0,0.0,0.0,15.64,2.14,0.0
20220723:0410,0.0,0.0,0.0,15.14,2.14,0.0
20220723:0510,18.81,36.2,6.54,14.78,2.28,0.0
20220723:0610,85.8,129.28,15.92,15.31,2.48,0.0
20220723:0710,207.35,268.61,25.7,16.78,2.97,0.0
20220723:0810,291.99,366.75,35.52,17.93,2.28,0.0
20220723:0910,349.01,439.95,44.95,19.15,1.79,0.0
20220723:1010,399.96,507.65,53.26,20.18,1.72,0.0
20220723:1110,491.85,631.72,59.24,21.41,1.72,0.0
20220723:1210,530.22,686.26,61.21,22.33,1.79,0.0
20220723:1310,694.52,921.95,58.36,23.29,1.72,0.0
20220723:1410,659.12,869.51,51.81,23.85,1.72,0.0
20220723:1510,545.14,708.43,43.21,24.23,1.72,0.0
20220723:1610,405.86,527.88,33.67,24.27,1.59,0.0
20220723:1710,194.91,270.18,23.82,24.15,1.38,0.0
20220723:1810,64.22,104.33,14.1,23.79,1.1,0.0
20220723:1910,11.23,26.25,4.83,22.45,1.72,0.0
20220723:2010,0.0,0.0,0.0,20.89,1.93,0.0
20220723:2110,0.0,0.0,0.0,19.54,1.72,0.0
20220723:2210,0.0,0.0,0.0,18.49,1.72,0.0
20220723:2310,0.0,0.0,0.0,17.76,1.72,0.0
20220724:0010,0.0,0.0,0.0,17.17,1.59,0.0
20220724:0110,0.0,0.0,0.0,16.69,1.79,0.0
20220724:0210,0.0,0.0,0.0,16.45,2.07,0.0
20220724:0310,0.0,0.0,0.0,16.35,2.14,0.0
20220724:0410,0.0,0.0,0.0,16.3,2.14,0.0
20220724:0510,17.99,35.3,6.38,16.39,2.14,0.0
20220724:0610,74.22,132.71,15.77,17.75,1.93,0.0
20220724:0710,253.29,338.49,25.54,20.15,2.14,0.0
20220724:0810,437.83,557.99,35.37,22.53,2.55,0.0
20220724:0910,579.91,743.33,44.78,24.23,3.17,0.0
20220724:1010,690.69,901.34,53.08,25.46,3.38,0.0
20220724:1110,744.96,985.11,59.05,26.49,3.52,0.0
20220724:1210,762.12,1013.06,61.01,27.36,3.72,0.0
20220724:1310,731.24,972.47,58.17,28.07,3.59,0.0
20220724:1410,655.81,865.66,51.64,28.59,3.45,0.0
20220724:1510,542.28,709.1,43.06,28.92,3.31,0.0
20220724:1610,385.92,506.88,33.52,28.98,3.24,0.0
20220724:1710,206.46,294.93,23.68,28.71,3.03,0.0
20220724:1810,50.15,101.37,13.95,27.89,2.14,0.0
20220724:1910,10.42,25.34,4.68,26.14,2.41,0.0
20220724:2010,0.0,0.0,0.0,24.58,2.41,0.0
20220724:2110,0.0,0.0,0.0,22.86,1.79,0.0
20220724:2210,0.0,0.0,0.0,20.98,2.55,0.0
20220724:2310,0.0,0.0,0.0,19.22,2.55,0.0
20220725:0010,0.0,0.0,0.0,18.08,2.0,0.0
20220725:0110,0.0,0.0,0.0,17.3,1.72,0.0
20220725:0210,0.0,0.0,0.0,16.78,1.93,0.0
20220725:0310,0.0,0.0,0.0,16.47,2.0,0.0
20220725:0410,0.0,0.0,0.0,16.37,2.07,0.0
20220725:0510,10.4,24.44,6.22,16.54,2.41,0.0
20220725:0610,66.81,98.8,15.61,17.42,3.45,0.0
20220725:0710,74.41,106.9,25.39,18.88,4.76,0.0
20220725:0810,246.38,311.31,35.21,19.27,4.41,0.0
20220725:0910,249.13,315.48,44.62,19.7,4.21,0.0
20220725:1010,325.27,408.81,52.9,20.65,4.41,0.0
20220725:1110,0.0,0.0,0.0,21.71,4.69,0.0
20220725:1210,526.18,661.78,60.8,22.45,5.24,0.0
20220725:1310,541.47,680.51,57.98,22.72,5.52,0.0
20220725:1410,504.84,632.7,51.47,22.83,5.59,0.0
20220725:1510,273.35,347.94,42.9,22.92,5.66,0.0
20220725:1610,187.05,244.08,33.37,22.53,5.52,0.0
20220725:1710,138.27,187.12,23.53,21.6,4.97,0.0
20220725:1810,52.41,81.69,13.8,20.73,4.48,0.0
20220725:1910,5.15,16.29,4.52,19.25,3.59,0.0
20220725:2010,0.0,0.0,0.0,18.23,3.38,0.0
20220725:2110,0.0,0.0,0.0,17.32,3.38,0.0
20220725:2210,0.0,0.0,0.0,16.42,3.1,0.0
20220725:2310,0.0,0.0,0.0,15.78,3.03,0.0
20220726:0010,0.0,0.0,0.0,15.23,2.9,0.0
20220726:0110,0.0,0.0,0.0,15.03,2.83,0.0
20220726:0210,0.0,0.0,0.0,15.04,2.69,0.0
20220726:0310,0.0,0.0,0.0,14.95,2.41,0.0
20220726:0410,0.0,0.0,0.0,14.82,2.21,0.0
20220726:0510,3.73,13.58,6.05,14.7,2.07,0.0
20220726:0610,52.43,79.36,15.45,14.98,2.41,0.0
20220726:0710,87.82,121.95,25.23,16.16,2.69,0.0
20220726:0810,47.06,72.84,35.05,16.59,2.69,0.0
20220726:0910,231.37,292.64,44.45,17.31,2.69,0.0
20220726:1010,189.52,244.32,52.71,18.53,2.83,0.0
20220726:1110,229.18,292.25,58.63,18.93,2.97,0.0
20220726:1210,329.98,415.41,60.58,19.39,2.97,0.0
20220726:1310,267.2,339.19,57.77,19.39,2.69,0.0
20220726:1410,254.88,324.54,51.29,19.81,2.76,0.0
20220726:1510,262.35,332.85,42.74,19.95,3.1,0.0
20220726:1610,157.56,206.85,33.22,19.56,3.38,0.0
20220726:1710,126.54,170.77,23.38,19.02,3.38,0.0
20220726:1810,64.25,100.2,13.64,18.26,3.1,0.0
20220726:1910,8.55,21.72,4.35,17.9,2.76,0.0
20220726:2010,0.0,0.0,0.0,16.96,2.55,0.0
20220726:2110,0.0,0.0,0.0,15.74,2.48,0.0
20220726:2210,0.0,0.0,0.0,14.73,2.28,0.0
20220726:2310,0.0,0.0,0.0,13.89,2.07,0.0
20220727:0010,0.0,0.0,0.0,13.25,1.86,0.0
20220727:0110,0.0,0.0,0.0,12.73,1.59,0.0
20220727:0210,0.0,0.0,0.0,12.15,1.38,0.0
20220727:0310,0.0,0.0,0.0,11.53,1.17,0.0
20220727:0410,0.0,0.0,0.0,11.02,1.1,0.0
20220727:0510,17.18,33.49,5.88,10.82,0.97,0.0
20220727:0610,80.82,130.59,15.29,12.44,0.97,0.0
20220727:0710,254.66,332.18,25.07,14.37,1.38,0.0
20220727:0810,417.69,520.75,34.89,16.33,1.59,0.0
20220727:0910,452.01,567.89,44.28,17.81,1.45,0.0
20220727:1010,405.41,510.56,52.52,18.82,1.86,0.0
20220727:1110,422.46,535.57,58.42,19.66,1.79,0.0
20220727:1210,487.27,622.18,60.36,20.03,1.66,0.0
20220727:1310,473.77,605.63,57.57,20.28,1.52,0.0
20220727:1410,368.84,468.09,51.11,20.43,1.86,0.0
20220727:1510,420.08,530.69,42.57,20.64,2.21,0.0
20220727:1610,312.08,397.24,33.06,20.6,2.14,0.0
20220727:1710,102.89,142.99,23.22,20.36,1.79,0.0
20220727:1810,61.9,97.61,13.48,20.08,1.59,0.0
20220727:1910,0.2,6.34,4.18,19.52,1.17,0.0
20220727:2010,0.0,0.0,0.0,19.01,1.72,0.0
20220727:2110,0.0,0.0,0.0,18.03,2.21,0.0
20220727:2210,0.0,0.0,0.0,17.49,3.03,0.0
20220727:2310,0.0,0.0,0.0,16.93,3.45,0.0
20220728:0010,0.0,0.0,0.0,16.33,3.03,0.0
20220728:0110,0.0,0.0,0.0,15.67,2.55,0.0
20220728:0210,0.0,0.0,0.0,15.03,2.21,0.0
20220728:0310,0.0,0.0,0.0,14.53,2.07,0.0
20220728:0410,0.0,0.0,0.0,14.17,2.0,0.0
20220728:0510,0.0,4.53,5.71,14.05,2.07,0.0
20220728:0610,6.93,18.92,15.12,14.25,2.0,0.0
20220728:0710,28.48,49.19,24.91,15.72,1.66,0.0
20220728:0810,95.17,131.49,34.72,17.16,1.38,0.0
20220728:0910,282.48,358.11,44.1,18.69,1.45,0.0
20220728:1010,485.46,618.74,52.33,19.94,1.52,0.0
20220728:1110,333.97,427.59,58.21,20.94,1.38,0.0
20220728:1210,327.54,423.01,60.13,21.61,0.83,0.0
20220728:1310,631.98,843.34,57.35,22.14,0.69,0.0
20220728:1410,446.58,580.73,50.91,22.6,0.76,0.0
20220728:1510,374.53,485.3,42.39,22.9,0.69,0.0
20220728:1610,198.68,262.58,32.89,22.79,0.62,0.0
20220728:1710,129.37,178.51,23.05,22.49,0.83,0.0
20220728:1810,60.5,96.62,13.31,21.86,1.31,0.0
20220728:1910,6.71,19.01,4.0,20.78,1.52,0.0
20220728:2010,0.0,0.0,0.0,19.77,1.59,0.0
20220728:2110,0.0,0.0,0.0,18.27,1.86,0.0
20220728:2210,0.0,0.0,0.0,17.13,1.93,0.0
20220728:2310,0.0,0.0,0.0,16.34,2.0,0.0
20220729:0010,0.0,0.0,0.0,15.72,1.93,0.0
20220729:0110,0.0,0.0,0.0,15.02,1.86,0.0
20220729:0210,0.0,0.0,0.0,14.45,1.86,0.0
20220729:0310,0.0,0.0,0.0,14.07,1.79,0.0
20220729:0410,0.0,0.0,0.0,13.89,1.59,0.0
20220729:0510,11.15,25.34,5.53,14.16,1.24,0.0
20220729:0610,78.07,121.53,14.95,15.84,0.48,0.0
20220729:0710,170.03,225.41,24.75,18.87,1.24,0.0
20220729:0810,420.12,539.88,34.56,20.65,0.76,0.0
20220729:0910,556.35,724.59,43.92,22.12,0.97,0.0
20220729:1010,666.72,879.95,52.13,22.68,1.45,0.0
20220729:1110,727.89,974.44,57.98,23.33,1.59,0.0
20220729:1210,671.78,893.91,59.9,24.07,1.72,0.0
20220729:1310,207.57,273.99,57.13,24.19,1.79,0.0
20220729:1410,461.62,599.28,50.72,24.46,1.72,0.0
20220729:1510,480.91,624.23,42.21,24.53,1.59,0.0
20220729:1610,288.96,376.58,32.72,24.81,1.86,0.0
20220729:1710,129.15,179.3,22.88,24.42,2.0,0.0
20220729:1810,49.23,79.32,13.13,23.86,1.86,0.0
20220729:1910,1.29,9.05,3.82,22.85,2.76,0.0
20220729:2010,0.0,0.0,0.0,21.49,2.48,0.0
20220729:2110,0.0,0.0,0.0,20.36,2.21,0.0
20220729:2210,0.0,0.0,0.0,19.61,2.0,0.0
20220729:2310,0.0,0.0,0.0,18.81,1.66,0.0
20220730:0010,0.0,0.0,0.0,18.01,1.31,0.0
20220730:0110,0.0,0.0,0.0,17.78,1.03,0.0
20220730:0210,0.0,0.0,0.0,17.38,1.17,0.0
20220730:0310,0.0,0.0,0.0,16.49,1.66,0.0
20220730:0410,0.0,0.0,0.0,16.06,1.79,0.0
20220730:0510,13.54,28.96,5.35,15.7,1.79,0.0
20220730:0610,77.13,121.36,14.78,16.41,1.66,0.0
20220730:0710,244.32,324.34,24.58,17.96,1.79,0.0
20220730:0810,388.3,491.71,34.39,19.81,1.66,0.0
20220730:0910,555.98,712.25,43.74,21.57,1.86,0.0
20220730:1010,675.14,887.63,51.93,22.95,1.79,0.0
20220730:1110,735.15,977.26,57.76,24.06,2.21,0.0
20220730:1210,745.08,991.88,59.66,24.91,2.55,0.0
20220730:1310,637.6,828.84,56.91,25.91,3.79,0.0
20220730:1410,606.83,783.68,50.51,25.89,3.86,0.0
20220730:1510,471.46,603.51,42.03,25.73,3.72,0.0
20220730:1610,371.58,478.74,32.54,25.53,3.72,0.0
20220730:1710,203.99,286.09,22.71,24.61,3.86,0.0
20220730:1810,45.48,92.74,12.95,23.41,3.59,0.0
20220730:1910,5.61,17.2,3.63,21.4,3.03,0.0
20220730:2010,0.0,0.0,0.0,20.14,2.62,0.0
20220730:2110,0.0,0.0,0.0,19.29,1.93,0.0
20220730:2210,0.0,0.0,0.0,18.6,1.66,0.0
20220730:2310,0.0,0.0,0.0,17.93,1.86,0.0
20220731:0010,0.0,0.0,0.0,17.2,1.93,0.0
20220731:0110,0.0,0.0,0.0,16.87,2.07,0.0
20220731:0210,0.0,0.0,0.0,16.41,1.93,0.0
20220731:0310,0.0,0.0,0.0,16.11,1.93,0.0
20220731:0410,0.0,0.0,0.0,15.98,2.07,0.0
20220731:0510,7.49,19.91,5.17,15.83,2.14,0.0
20220731:0610,50.6,77.48,14.61,16.15,2.83,0.0
20220731:0710,110.36,149.11,24.41,16.72,3.31,0.0
20220731:0810,145.75,191.62,34.22,18.11,3.17,0.0
20220731:0910,113.26,154.19,43.56,19.58,2.9,0.0
20220731:1010,181.01,236.77,51.73,21.13,3.03,0.0
20220731:1110,266.52,341.97,57.53,22.4,3.45,0.0
20220731:1210,366.01,466.39,59.42,23.47,3.86,0.0
20220731:1310,385.67,491.73,56.67,24.2,4.14,0.0
20220731:1410,402.67,512.68,50.3,24.56,4.28,0.0
20220731:1510,521.91,661.6,41.83,24.47,4.34,0.0
20220731:1610,346.6,442.82,32.36,24.11,4.28,0.0
20220731:1710,126.87,175.02,22.52,23.48,3.79,0.0
20220731:1810,49.52,79.27,12.77,22.81,3.24,0.0
20220731:1910,3.07,12.67,3.44,21.76,2.34,0.0
20220731:2010,0.0,0.0,0.0,20.63,2.28,0.0
20220731:2110,0.0,0.0,0.0,19.57,2.48,0.0
20220731:2210,0.0,0.0,0.0,18.63,2.48,0.0
20220731:2310,0.0,0.0,0.0,17.91,2.28,0.0
20220801:0010,0.0,0.0,0.0,17.25,2.07,0.0
20220801:0110,0.0,0.0,0.0,16.59,2.0,0.0
20220801:0210,0.0,0.0,0.0,16.3,1.93,0.0
20220801:0310,0.0,0.0,0.0,16.41,2.07,0.0
20220801:0410,0.0,0.0,0.0,16.61,2.14,0.0
20220801:0510,6.31,18.1,4.99,17.0,1.93,0.0
20220801:0610,54.39,83.05,14.44,17.4,1.93,0.0
20220801:0710,172.91,227.69,24.24,17.46,1.52,0.0
20220801:0810,238.44,302.4,34.04,18.04,2.21,0.0
20220801:0910,283.84,357.76,43.37,18.68,2.34,0.0
20220801:1010,543.11,686.29,51.52,19.89,2.55,0.0
20220801:1110,306.44,390.16,57.3,21.28,2.76,0.0
20220801:1210,606.14,779.23,59.17,22.61,3.03,0.0
20220801:1310,623.39,805.25,56.44,23.46,3.03,0.0
20220801:1410,612.69,790.2,50.09,23.72,2.9,0.0
20220801:1510,480.44,612.58,41.64,23.69,2.9,0.0
20220801:1610,379.29,486.93,32.17,23.72,2.83,0.0
20220801:1710,186.99,259.68,22.34,23.63,2.83,0.0
20220801:1810,48.02,91.05,12.57,23.04,2.76,0.0
20220801:1910,3.55,13.58,3.24,21.74,2.83,0.0
20220801:2010,0.0,0.0,0.0,20.25,2.55,0.0
20220801:2110,0.0,0.0,0.0,19.23,2.0,0.0
20220801:2210,0.0,0.0,0.0,18.25,1.52,0.0
20220801:2310,0.0,0.0,0.0,17.51,1.24,0.0
20220802:0010,0.0,0.0,0.0,16.59,1.17,0.0
20220802:0110,0.0,0.0,0.0,15.74,1.03,0.0
20220802:0210,0.0,0.0,0.0,15.96,0.48,0.0
20220802:0310,0.0,0.0,0.0,15.69,0.41,0.0
20220802:0410,0.0,0.0,0.0,14.35,1.1,0.0
20220802:0510,11.78,26.25,4.81,13.98,1.17,0.0
20220802:0610,72.31,117.22,14.26,15.55,0.9,0.0
20220802:0710,238.64,318.57,24.07,17.42,0.83,0.0
20220802:0810,404.11,513.5,33.87,18.93,0.9,0.0
20220802:0910,524.14,674.06,43.19,20.23,0.9,0.0
20220802:1010,639.56,845.07,51.31,21.96,0.97,0.0
20220802:1110,694.1,930.59,57.06,23.37,1.24,0.0
20220802:1210,677.31,907.16,58.92,24.75,1.59,0.0
20220802:1310,707.56,948.39,56.19,25.79,2.0,0.0
20220802:1410,643.01,849.04,49.86,26.18,2.28,0.0
20220802:1510,528.63,691.28,41.43,26.53,2.0,0.0
20220802:1610,375.91,494.72,31.97,26.76,1.59,0.0
20220802:1710,194.01,279.1,22.14,26.77,1.31,0.0
20220802:1810,40.93,86.94,12.38,26.48,1.1,0.0
20220802:1910,3.47,13.58,3.03,25.39,1.59,0.0
20220802:2010,0.0,0.0,0.0,23.29,2.21,0.0
20220802:2110,0.0,0.0,0.0,21.41,2.28,0.0
20220802:2210,0.0,0.0,0.0,20.01,2.14,0.0
20220802:2310,0.0,0.0,0.0,19.05,1.72,0.0
20220803:0010,0.0,0.0,0.0,18.39,1.59,0.0
20220803:0110,0.0,0.0,0.0,17.92,1.66,0.0
20220803:0210,0.0,0.0,0.0,17.69,1.72,0.0
20220803:0310,0.0,0.0,0.0,17.53,1.86,0.0
20220803:0410,0.0,0.0,0.0,17.4,1.93,0.0
20220803:0510,10.95,25.34,4.62,17.35,1.93,0.0
20220803:0610,63.94,118.98,14.09,18.52,1.66,0.0
20220803:0710,240.11,324.76,23.9,20.59,1.31,0.0
20220803:0810,420.78,543.52,33.69,23.11,1.38,0.0
20220803:0910,553.63,730.04,42.99,25.46,1.24,0.0
20220803:1010,655.33,888.88,51.1,27.45,1.31,0.0
20220803:1110,701.75,966.48,56.81,28.85,1.52,0.0
20220803:1210,705.66,974.84,58.66,29.8,1.72,0.0
20220803:1310,663.62,911.02,55.95,30.43,1.79,0.0
20220803:1410,455.22,609.64,49.64,30.83,1.79,0.0
20220803:1510,376.34,501.36,41.22,31.05,1.93,0.0
20220803:1610,285.63,383.4,31.77,30.91,1.93,0.0
20220803:1710,126.26,181.23,21.95,30.39,1.59,0.0
20220803:1810,14.09,31.22,12.18,28.58,2.21,0.0
20220803:1910,0.51,7.24,2.82,24.75,3.86,0.0
20220803:2010,0.0,0.0,0.0,21.7,3.52,0.0
20220803:2110,0.0,0.0,0.0,20.18,3.03,0.0
20220803:2210,0.0,0.0,0.0,19.44,2.55,0.0
20220803:2310,0.0,0.0,0.0,18.94,2.07,0.0
20220804:0010,0.0,0.0,0.0,18.52,1.86,0.0
20220804:0110,0.0,0.0,0.0,18.3,1.79,0.0
20220804:0210,0.0,0.0,0.0,18.03,1.72,0.0
20220804:0310,0.0,0.0,0.0,17.82,1.79,0.0
20220804:0410,0.0,0.0,0.0,17.6,2.0,0.0
20220804:0510,7.99,20.82,4.43,17.31,2.28,0.0
20220804:0610,66.99,103.06,13.91,17.7,3.31,0.0
20220804:0710,67.04,97.44,23.72,17.42,4.0,0.0
20220804:0810,126.96,169.48,33.51,18.5,3.86,0.0
20220804:0910,160.78,211.2,42.8,20.0,3.24,0.0
20220804:1010,182.16,238.68,50.88,21.57,2.97,0.0
20220804:1110,716.89,934.85,56.57,23.24,2.97,0.0
20220804:1210,730.55,961.35,58.39,24.23,2.9,0.0
20220804:1310,416.57,536.35,55.69,24.7,2.76,0.0
20220804:1410,37.84,63.38,49.4,24.82,2.69,0.0
20220804:1510,70.62,105.0,41.01,24.6,2.69,0.0
20220804:1610,102.98,144.73,31.57,24.18,2.83,0.0
20220804:1710,11.36,26.49,21.74,23.03,3.52,0.0
20220804:1810,21.35,40.68,11.97,21.81,3.93,0.0
20220804:1910,2.18,10.86,2.61,19.91,3.86,0.0
20220804:2010,0.0,0.0,0.0,18.25,3.31,0.0
20220804:2110,0.0,0.0,0.0,16.75,2.83,0.0
20220804:2210,0.0,0.0,0.0,16.21,1.86,0.0
20220804:2310,0.0,0.0,0.0,15.83,1.31,0.0
20220805:0010,0.0,0.0,0.0,15.29,1.79,0.0
20220805:0110,0.0,0.0,0.0,14.53,2.34,0.0
20220805:0210,0.0,0.0,0.0,14.09,2.69,0.0
20220805:0310,0.0,0.0,0.0,13.74,2.62,0.0
20220805:0410,0.0,0.0,0.0,13.35,2.48,0.0
20220805:0510,9.38,22.63,4.24,13.18,2.41,0.0
20220805:0610,65.96,119.25,13.72,13.94,2.14,0.0
20220805:0710,248.46,325.99,23.54,16.03,2.9,0.0
20220805:0810,441.0,542.8,33.32,17.42,4.14,0.0
20220805:0910,498.62,613.22,42.6,18.53,4.69,0.0
20220805:1010,453.84,560.96,50.66,19.17,4.9,0.0
20220805:1110,684.89,854.85,56.32,19.43,5.17,0.0
20220805:1210,604.45,753.53,58.13,19.81,5.03,0.0
20220805:1310,484.26,602.83,55.43,20.09,4.69,0.0
20220805:1410,582.69,726.98,49.17,20.4,4.62,0.0
20220805:1510,571.74,708.48,40.79,20.29,4.9,0.0
20220805:1610,408.37,509.09,31.36,19.82,4.9,0.0
20220805:1710,207.24,284.35,21.53,19.14,4.83,0.0
20220805:1810,39.64,83.43,11.76,18.26,4.41,0.0
20220805:1910,1.78,9.96,2.38,17.27,3.45,0.0
20220805:2010,0.0,0.0,0.0,16.02,3.24,0.0
20220805:2110,0.0,0.0,0.0,15.15,3.17,0.0
20220805:2210,0.0,0.0,0.0,14.42,2.9,0.0
20220805:2310,0.0,0.0,0.0,13.76,2.48,0.0
20220806:0010,0.0,0.0,0.0,13.18,2.34,0.0
20220806:0110,0.0,0.0,0.0,12.73,2.48,0.0
20220806:0210,0.0,0.0,0.0,12.45,2.41,0.0
20220806:0310,0.0,0.0,0.0,12.16,2.34,0.0
20220806:0410,0.0,0.0,0.0,11.86,2.41,0.0
20220806:0510,8.86,21.72,4.05,11.6,2.55,0.0
20220806:0610,64.87,119.14,13.54,12.28,2.48,0.0
20220806:0710,253.75,330.69,23.36,14.21,2.62,0.0
20220806:0810,455.71,561.27,33.14,16.15,3.1,0.0
20220806:0910,608.86,752.92,42.4,17.87,3.86,0.0
20220806:1010,725.92,911.23,50.43,19.21,4.34,0.0
20220806:1110,798.12,1015.93,56.06,20.19,4.48,0.0
20220806:1210,809.85,1037.41,57.85,20.95,4.48,0.0
20220806:1310,772.18,988.35,55.17,21.53,4.34,0.0
20220806:1410,696.24,883.36,48.92,21.93,4.34,0.0
20220806:1510,576.67,723.93,40.56,22.06,4.34,0.0
20220806:1610,406.96,514.03,31.14,21.94,4.34,0.0
20220806:1710,205.63,286.57,21.32,21.55,4.21,0.0
20220806:1810,39.2,82.74,11.54,20.75,3.66,0.0
20220806:1910,0.55,7.24,2.16,19.33,3.45,0.0
20220806:2010,0.0,0.0,0.0,17.88,3.24,0.0
20220806:2110,0.0,0.0,0.0,16.76,3.24,0.0
20220806:2210,0.0,0.0,0.0,15.89,3.24,0.0
20220806:2310,0.0,0.0,0.0,15.19,3.03,0.0
20220807:0010,0.0,0.0,0.0,14.65,2.83,0.0
20220807:0110,0.0,0.0,0.0,14.28,2.76,0.0
20220807:0210,0.0,0.0,0.0,13.9,2.76,0.0
20220807:0310,0.0,0.0,0.0,13.55,2.69,0.0
20220807:0410,0.0,0.0,0.0,13.19,2.62,0.0
20220807:0510,7.62,19.91,3.85,12.83,2.69,0.0
20220807:0610,63.78,115.81,13.36,13.35,2.55,0.0
20220807:0710,247.66,323.91,23.18,15.1,3.1,0.0
20220807:0810,448.09,552.73,32.95,17.03,3.45,0.0
20220807:0910,598.54,742.95,42.2,18.87,3.86,0.0
